hora,ruta,info_ruta
10:55 a. m.,vereda-tambobrisas sentido-a-medellin,"Salida Metro Cable: 10:55 a. m., Paso Tambo, Paso Tienda Dora, Paso Sede Piedra Gorda, Paso Brisas, Llegada Medellín: 12:15 p. m."
11:25 a. m.,vereda-tambobrisas sentido-a-medellin,"Salida Metro Cable: 11:25 a. m., Paso Tambo, Paso Tienda Dora, Paso Sede Piedra Gorda, Paso Brisas, Llegada Medellín: 12:45 p. m."
11:57 a. m.,vereda-tambobrisas sentido-a-medellin,"Salida Metro Cable: 11:57 a. m., Paso Tambo, Paso Tienda Dora, Paso Sede Piedra Gorda, Paso Brisas, Llegada Medellín: 1:17 p. m."
12:17 p. m.,vereda-tambobrisas sentido-a-medellin,"Salida Metro Cable: 12:17 p. m., Paso Tambo, Paso Tienda Dora, Paso Sede Piedra Gorda, Paso Brisas, Llegada Medellín: 1:37 p. m."
12:49 p. m.,vereda-tambobrisas sentido-a-medellin,"Salida Metro Cable: 12:49 p. m., Paso Tambo, Paso Tienda Dora, Paso Sede Piedra Gorda, Paso Brisas, Llegada Medellín: 2:09 p. m."
1:21 p. m.,vereda-tambobrisas sentido-a-medellin,"Salida Metro Cable: 1:21 p. m., Paso Tambo, Paso Tienda Dora, Paso Sede Piedra Gorda, Paso Brisas, Llegada Medellín: 2:41 p. m."
1:45 p. m.,vereda-tambobrisas sentido-a-medellin,"Salida Metro Cable: 1:45 p. m., Paso Tambo, Paso Tienda Dora, Paso Sede Piedra Gorda, Paso Brisas, Llegada Medellín: 3:05 p. m."
2:13 p. m.,vereda-tambobrisas sentido-a-medellin,"Salida Metro Cable: 2:13 p. m., Paso Tambo, Paso Tienda Dora, Paso Sede Piedra Gorda, Paso Brisas, Llegada Medellín: 3:33 p. m."
2:49 p. m.,vereda-tambobrisas sentido-a-medellin,"Salida Metro Cable: 2:49 p. m., Paso Tambo, Paso Tienda Dora, Paso Sede Piedra Gorda, Paso Brisas, Llegada Medellín: 4:09 p. m."
3:25 p. m.,vereda-tambobrisas sentido-a-medellin,"Salida Metro Cable: 3:25 p. m., Paso Tambo, Paso Tienda Dora, Paso Sede Piedra Gorda, Paso Brisas, Llegada Medellín: 4:45 p. m."
3:41 p. m.,vereda-tambobrisas sentido-a-medellin,"Salida Metro Cable: 3:41 p. m., Paso Tambo, Paso Tienda Dora, Paso Sede Piedra Gorda, Paso Brisas, Llegada Medellín: 5:01 p. m."
5:10 p. m.,vereda-tambobrisas sentido-a-medellin,"Salida Metro Cable: 5:10 p. m., Paso Tambo, Paso Tienda Dora, Paso Sede Piedra Gorda, Paso Brisas, Llegada Medellín: 6:30 p. m."
5:42 p. m.,vereda-tambobrisas sentido-a-medellin,"Salida Metro Cable: 5:42 p. m., Paso Tambo, Paso Tienda Dora, Paso Sede Piedra Gorda, Paso Brisas, Llegada Medellín: 7:02 p. m."
6:06 p. m.,vereda-tambobrisas sentido-a-medellin,"Salida Metro Cable: 6:06 p. m., Paso Tambo, Paso Tienda Dora, Paso Sede Piedra Gorda, Paso Brisas, Llegada Medellín: 7:26 p. m."
6:30 p. m.,vereda-tambobrisas sentido-a-medellin,"Salida Metro Cable: 6:30 p. m., Paso Tambo, Paso Tienda Dora, Paso Sede Piedra Gorda, Paso Brisas, Llegada Medellín: 7:50 p. m."
5:25 a. m.,vereda-tambobrisas sentido-desde-medellin,"Salida Medellín: 5:25 a. m., Llegada Silletero: 6:05 a. m., Llegada El Tambo: 7:06 a. m."
6:23 a. m.,vereda-tambobrisas sentido-desde-medellin,"Salida Medellín: 6:23 a. m., Llegada Silletero: 6:58 a. m., Llegada El Tambo: 7:59 a. m."
